,znormed_euclidean_distance,cinvariant_euclidean_distance,euclidean_distance
0,0.80744,0.93578,0.94104
1,0.9855,0.98681,0.98681
2,0.9734,0.8026,0.8026
3,0.9753,0.66069,0.6542
4,0.99377,0.5457,0.54453
5,0.7417,0.89041,0.90001
6,0.97935,0.94948,0.95935
7,1.0,1.0,1.0
8,0.57749,0.57749,0.57749
9,0.71972,0.79315,0.5952
10,0.99402,0.99005,0.99005
11,0.5,0.70618,0.57669
12,0.98719,0.98337,0.98466
13,0.9737,0.97566,0.96927
14,0.98685,0.93336,0.95074
15,0.98479,0.98255,0.125
16,0.73931,0.86727,0.86768
17,0.93021,0.94501,0.94096
18,0.76772,0.76635,0.76566
19,1.0,1.0,1.0
20,0.97114,0.9744,0.9744
21,0.9949,0.93523,0.94253
22,0.41579,0.41884,0.41884
23,0.55305,0.57043,0.57067
24,0.872,0.89663,0.86905
25,0.84044,0.97506,0.83691
26,0.90829,0.90464,0.91023
27,0.98665,0.98854,0.99157
28,0.98482,0.98612,0.98847
29,0.91323,0.53119,0.50882
30,0.25053,0.25053,0.25053
31,1.0,1.0,1.0
32,0.9551,0.99256,0.99044
33,0.35642,0.35642,0.35642
34,0.48637,0.71215,0.71262
35,0.95884,0.9531,0.95455
36,0.98519,0.98519,0.98887
37,0.65057,0.98847,0.97339
38,0.55556,0.941,0.99498
39,0.81704,0.97441,0.91855
40,0.98746,0.98802,0.99099
41,0.51379,0.46582,0.46553
42,0.98247,0.98641,0.97834
43,0.98426,0.98907,0.90138
44,0.79698,0.78766,0.78766
45,0.99497,0.96061,0.96697
46,1.0,1.0,1.0
47,0.98464,0.99762,0.98347
48,0.9947,0.98297,0.98313
49,0.99562,0.99463,0.99449
50,0.61354,0.84195,0.84161
51,0.98952,0.93937,0.99044
52,0.95494,0.95564,0.95591
53,0.92229,0.92155,0.92204
54,0.93881,0.94108,0.94091
55,0.99153,0.98309,0.98309
56,0.98736,0.98307,0.98731
57,1.0,1.0,1.0
58,0.98155,0.73418,0.75286
59,0.97296,0.98303,0.9864
60,0.46682,0.44574,0.44574
61,0.88015,0.88291,0.88245
62,0.87227,0.83629,0.8822
63,0.98887,0.98783,0.99362
64,0.63069,0.64874,0.84985
65,0.93843,0.99033,0.99097
66,0.96075,0.97328,0.97366
67,0.50099,0.50099,0.50099
68,1.0,0.66222,0.66278
69,0.99224,0.99646,0.9967
70,0.98663,0.98734,0.90162
71,0.96282,0.96206,0.95946
72,0.81048,0.79963,0.80961
73,0.72692,0.83742,0.72692
74,0.75205,0.7821,0.7741
