zed,cid,ed
0.80744,0.93578,0.94104
0.9855,0.98681,0.98681
0.9734,0.8026,0.8026
0.9753,0.66069,0.6542
0.99377,0.5457,0.54453
0.7417,0.89041,0.90001
0.97935,0.94948,0.95935
1.0,1.0,1.0
0.57749,0.57749,0.57749
0.71972,0.79315,0.5952
0.99402,0.99005,0.99005
0.5,0.70618,0.57669
0.98719,0.98337,0.98466
0.9737,0.97566,0.96927
0.98685,0.93336,0.95074
0.98479,0.98255,0.125
0.73931,0.86727,0.86768
0.93021,0.94501,0.94096
0.76772,0.76635,0.76566
1.0,1.0,1.0
0.97114,0.9744,0.9744
0.9949,0.93523,0.94253
0.41579,0.41884,0.41884
0.55305,0.57043,0.57067
0.872,0.89663,0.86905
0.84044,0.97506,0.83691
0.90829,0.90464,0.91023
0.98665,0.98854,0.99157
0.98482,0.98612,0.98847
0.91323,0.53119,0.50882
0.25053,0.25053,0.25053
1.0,1.0,1.0
0.9551,0.99256,0.99044
0.35642,0.35642,0.35642
0.48637,0.71215,0.71262
0.95884,0.9531,0.95455
0.98519,0.98519,0.98887
0.65057,0.98847,0.97339
0.55556,0.941,0.99498
0.81704,0.97441,0.91855
0.98746,0.98802,0.99099
0.51379,0.46582,0.46553
0.98247,0.98641,0.97834
0.98426,0.98907,0.90138
0.79698,0.78766,0.78766
0.99497,0.96061,0.96697
1.0,1.0,1.0
0.98464,0.99762,0.98347
0.9947,0.98297,0.98313
0.99562,0.99463,0.99449
0.61354,0.84195,0.84161
0.98952,0.93937,0.99044
0.95494,0.95564,0.95591
0.92229,0.92155,0.92204
0.93881,0.94108,0.94091
0.99153,0.98309,0.98309
0.98736,0.98307,0.98731
1.0,1.0,1.0
0.98155,0.73418,0.75286
0.97296,0.98303,0.9864
0.46682,0.44574,0.44574
0.88015,0.88291,0.88245
0.87227,0.83629,0.8822
0.98887,0.98783,0.99362
0.63069,0.64874,0.84985
0.93843,0.99033,0.99097
0.96075,0.97328,0.97366
0.50099,0.50099,0.50099
1.0,0.66222,0.66278
0.99224,0.99646,0.9967
0.98663,0.98734,0.90162
0.96282,0.96206,0.95946
0.81048,0.79963,0.80961
0.72692,0.83742,0.72692
0.75205,0.7821,0.7741
