dataset,zed,cid,ed
Adiac,0.80744,0.93578,0.94104
ArrowHead,0.9855,0.98681,0.98681
Beef,0.9734,0.8026,0.8026
BeetleFly,0.9753,0.66069,0.6542
BirdChicken,0.99377,0.5457,0.54453
Car,0.7417,0.89041,0.90001
CBF,0.97935,0.94948,0.95935
Chinatown,1.0,1.0,1.0
ChlorineConcentration,0.57749,0.57749,0.57749
CinCECGTorso,0.71972,0.79315,0.5952
Coffee,0.99402,0.99005,0.99005
Computers,0.5,0.70618,0.57669
CricketX,0.98719,0.98337,0.98466
CricketY,0.9737,0.97566,0.96927
CricketZ,0.98685,0.93336,0.95074
Crop,0.98479,0.98255,0.125
DiatomSizeReduction,0.73931,0.86727,0.86768
DistalPhalanxOutlineAgeGroup,0.93021,0.94501,0.94096
DistalPhalanxTW,0.76772,0.76635,0.76566
DodgerLoopDay,1.0,1.0,1.0
ECG200,0.97114,0.9744,0.9744
ECGFiveDays,0.9949,0.93523,0.94253
EOGHorizontalSignal,0.41579,0.41884,0.41884
EOGVerticalSignal,0.55305,0.57043,0.57067
FaceAll,0.872,0.89663,0.86905
FaceFour,0.84044,0.97506,0.83691
FacesUCR,0.90829,0.90464,0.91023
FiftyWords,0.98665,0.98854,0.99157
Fish,0.98482,0.98612,0.98847
FreezerRegularTrain,0.91323,0.53119,0.50882
Ham,0.25053,0.25053,0.25053
Herring,1.0,1.0,1.0
GunPoint,0.9551,0.99256,0.99044
Haptics,0.35642,0.35642,0.35642
InlineSkate,0.48637,0.71215,0.71262
InsectWingbeatSound,0.95884,0.9531,0.95455
ItalyPowerDemand,0.98519,0.98519,0.98887
LargeKitchenAppliances,0.65057,0.98847,0.97339
Lightning2,0.55556,0.941,0.99498
Lightning7,0.81704,0.97441,0.91855
Mallat,0.98746,0.98802,0.99099
Meat,0.51379,0.46582,0.46553
MedicalImages,0.98247,0.98641,0.97834
MelbournePedestrian,0.98426,0.98907,0.90138
MiddlePhalanxOutlineAgeGroup,0.79698,0.78766,0.78766
MiddlePhalanxOutlineCorrect,0.99497,0.96061,0.96697
MiddlePhalanxTW,1.0,1.0,1.0
MoteStrain,0.98464,0.99762,0.98347
NonInvasiveFetalECGThorax1,0.9947,0.98297,0.98313
NonInvasiveFetalECGThorax2,0.99562,0.99463,0.99449
OliveOil,0.61354,0.84195,0.84161
OSULeaf,0.98952,0.93937,0.99044
Plane,0.95494,0.95564,0.95591
ProximalPhalanxOutlineAgeGroup,0.92229,0.92155,0.92204
ProximalPhalanxOutlineCorrect,0.93881,0.94108,0.94091
ProximalPhalanxTW,0.99153,0.98309,0.98309
ShapesAll,0.98736,0.98307,0.98731
ShapeletSim,1.0,1.0,1.0
SonyAIBORobotSurface1,0.98155,0.73418,0.75286
SonyAIBORobotSurface2,0.97296,0.98303,0.9864
Strawberry,0.46682,0.44574,0.44574
SwedishLeaf,0.88015,0.88291,0.88245
Symbols,0.87227,0.83629,0.8822
SyntheticControl,0.98887,0.98783,0.99362
ToeSegmentation1,0.63069,0.64874,0.84985
ToeSegmentation2,0.93843,0.99033,0.99097
Trace,0.96075,0.97328,0.97366
TwoLeadECG,0.50099,0.50099,0.50099
UMD,1.0,0.66222,0.66278
UWaveGestureLibraryAll,0.99224,0.99646,0.9967
UWaveGestureLibraryX,0.98663,0.98734,0.90162
UWaveGestureLibraryY,0.96282,0.96206,0.95946
UWaveGestureLibraryZ,0.81048,0.79963,0.80961
WordSynonyms,0.72692,0.83742,0.72692
Yoga,0.75205,0.7821,0.7741
